name,menu,location,y,x,area
오세계향,채식짜장,서울 종로구 인사동12길 14-5,37.5746800002982,126.9852667001,서울
영태리라면,라면,경기 파주시 월롱면 영태리 151-11,37.77866319538271,126.79438006866,경기
산마루돌구이,산낙지돌구이,서울 용산구 한강대로62다길 12,37.53309654808921,126.97396952527001,서울
라면 사무소,까르보나라라면,서울 마포구 공덕동 475,37.5477778565823,126.954282083354,서울
오스테리아 오르조,화이트 라구 파스타,서울 용산구 한남동 31-13,37.5349205880596,127.009503277042,서울
애플하우스,떡볶이,서울 서초구 반포동 978,37.501776612381896,126.99015395811199,서울
침니펍,생크림 굴뚝빵,서울 종로구 통의동 35-4,37.576661695771996,126.974044026369,서울
공평동꼼장어,꼼장이구이,서울 종로구 우정국로 29,37.57171431970821,126.982851639693,서울
까델루뽀,이탈리안 코스요리,서울 종로구 효자동 39-1,37.5818101806786,126.971422258033,서울
목멱산방,산방비빔밥,서울 중구 예장동 산 5-6,37.5539481137637,126.989913513291,서울
변강성가자미,철가마전골,서울 구로구 도림로 101,37.4913842374755,126.89403997624399,서울
더풍년,모듬해물,서울 서대문구 통일로 189-1,37.5703343013166,126.961847555527,서울
돌체테리아,먹물치즈식빵,서울 마포구 와우산로18길 29,37.5514422498181,126.923802876614,서울
야스노야,"생 양갈비, 생 양등심",서울 용산구 후암로 8-1,37.546726600027,126.97840937851801,서울
방콕야시장,어쑤언,서울 관악구 관악로14길 38,37.47875308078829,126.95467464615801,서울
도이농,"소고기 국수, 버마식 커리",서울 중구 을지로9길 14,37.566895219542,126.98849926134301,서울
범바우막국수,막국수,강원 양양군 강현면 동해대로,38.0348345929631,128.689722093753,강원
호계식,닭온반정식,서울 마포구 합정동 433-1,37.5525014726504,126.906740006429,서울
충화반점,라구짜장,서울 마포구 백범로1길 8-9,37.553948292586,126.937806150529,서울
미자식당,명란돈가쓰,서울 송파구 송파동 51-9,37.5097797468703,127.110250506881,서울
뽀빠이분식,"떡볶이, 라면, 쫄면",서울 송파구 신천동 7,37.518884927420395,127.099280476931,서울
커피한약방,필터커피,서울 중구 을지로2가 101-34,37.566571142234004,126.98861193540199,서울
